"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Overweight, adults aged 18+","","2022","Viet Nam","Western Pacific Region","Total","","18.209158","16.39398","20.154566","",
"Overweight, adults aged 18+","","2022","Viet Nam","Western Pacific Region","Males","","18.661775","15.76371","21.772157","",
"Overweight, adults aged 18+","","2022","Viet Nam","Western Pacific Region","Females","","17.497066","15.083157","20.050472","",
"Obesity, adults aged 18+","","2022","Viet Nam","Western Pacific Region","Total","","2.0157427","1.5279502","2.5952574","",
"Obesity, adults aged 18+","","2022","Viet Nam","Western Pacific Region","Males","","1.9277675","1.2604103","2.7718965","",
"Obesity, adults aged 18+","","2022","Viet Nam","Western Pacific Region","Females","","2.0085063","1.3940155","2.8059345","",
"Overweight, adolescents aged 10–19","","2022","Viet Nam","Western Pacific Region","Total","","14.265169","11.67226","17.060265","",
"Overweight, adolescents aged 10–19","","2022","Viet Nam","Western Pacific Region","Males","","18.943906","14.550243","23.521087","",
"Overweight, adolescents aged 10–19","","2022","Viet Nam","Western Pacific Region","Females","","9.1787539","6.575001","12.249106","",
"Obesity, adolescents aged 10–19","","2022","Viet Nam","Western Pacific Region","Total","","3.8107265","2.4393508","5.5435069","",
"Obesity, adolescents aged 10–19","","2022","Viet Nam","Western Pacific Region","Males","","5.40548","3.0739855","8.4712267","",
"Obesity, adolescents aged 10–19","","2022","Viet Nam","Western Pacific Region","Females","","2.0770149","1.0158543","3.6514048","",
"Overweight, children aged 5–9","","2022","Viet Nam","Western Pacific Region","Total","","25.803509","21.889973","29.706207","",
"Overweight, children aged 5–9","","2022","Viet Nam","Western Pacific Region","Males","","32.75021","26.603112","38.768578","",
"Overweight, children aged 5–9","","2022","Viet Nam","Western Pacific Region","Females","","18.080649","13.442811","23.307367","",
"Obesity, children aged 5–9","","2022","Viet Nam","Western Pacific Region","Total","","11.030436","7.7608943","14.565289","",
"Obesity, children aged 5–9","","2022","Viet Nam","Western Pacific Region","Males","","14.236328","9.1932289","19.995886","",
"Obesity, children aged 5–9","","2022","Viet Nam","Western Pacific Region","Females","","7.4663475","4.0876381","11.99926","",
"Mean population salt intake, adults aged 25+","","2023","Viet Nam","Western Pacific Region","Total","","10.865231033","no data","no data","",
"Mean population salt intake, adults aged 25+","","2023","Viet Nam","Western Pacific Region","Males","","11.5319919","no data","no data","",
"Mean population salt intake, adults aged 25+","","2023","Viet Nam","Western Pacific Region","Females","","10.256486556","no data","no data","",
