"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Overweight, adults aged 18+","","2022","United States of America","Region of the Americas","Total","","72.43365","70.269614","74.569225","",
"Overweight, adults aged 18+","","2022","United States of America","Region of the Americas","Males","","74.706805","71.480858","77.849287","",
"Overweight, adults aged 18+","","2022","United States of America","Region of the Americas","Females","","70.251006","67.110604","73.321396","",
"Obesity, adults aged 18+","","2022","United States of America","Region of the Americas","Total","","41.986719","39.291164","44.746479","",
"Obesity, adults aged 18+","","2022","United States of America","Region of the Americas","Males","","40.848145","36.944458","44.856781","",
"Obesity, adults aged 18+","","2022","United States of America","Region of the Americas","Females","","43.154529","39.468476","47.027895","",
"Overweight, adolescents aged 10–19","","2022","United States of America","Region of the Americas","Total","","43.410414","39.609632","47.044167","",
"Overweight, adolescents aged 10–19","","2022","United States of America","Region of the Americas","Males","","43.558401","37.965885","48.948541","",
"Overweight, adolescents aged 10–19","","2022","United States of America","Region of the Americas","Females","","43.255398","38.444036","47.928551","",
"Obesity, adolescents aged 10–19","","2022","United States of America","Region of the Americas","Total","","21.530564","17.737739","25.40656","",
"Obesity, adolescents aged 10–19","","2022","United States of America","Region of the Americas","Males","","22.445726","16.81394","28.256714","",
"Obesity, adolescents aged 10–19","","2022","United States of America","Region of the Americas","Females","","20.571913","15.866064","25.726151","",
"Overweight, children aged 5–9","","2022","United States of America","Region of the Americas","Total","","38.842237","35.138163","42.408937","",
"Overweight, children aged 5–9","","2022","United States of America","Region of the Americas","Males","","39.05246","33.69793","44.453993","",
"Overweight, children aged 5–9","","2022","United States of America","Region of the Americas","Females","","38.622248","33.954859","43.329233","",
"Obesity, children aged 5–9","","2022","United States of America","Region of the Americas","Total","","18.616003","15.077868","22.27497","",
"Obesity, children aged 5–9","","2022","United States of America","Region of the Americas","Males","","19.980864","14.689787","25.559783","",
"Obesity, children aged 5–9","","2022","United States of America","Region of the Americas","Females","","17.187729","12.917346","21.992062","",
"Mean population salt intake, adults aged 25+","","2023","United States of America","Region of the Americas","Total","","8.691177847","no data","no data","",
"Mean population salt intake, adults aged 25+","","2023","United States of America","Region of the Americas","Males","","9.669900043","no data","no data","",
"Mean population salt intake, adults aged 25+","","2023","United States of America","Region of the Americas","Females","","7.723081751","no data","no data","",
